edge_from,edge_to,weight
185008460,414566,1689
105046310,100835903,1685
103047102,193920097,1681
45693802,62148650,1667
59667848,59667848,1667
64621741,21117631,1665
414566,177430994,1664
187377680,1032290579,1663
38090728,199944782,1661
139392130,100835903,1661
2485537415,10936095,1661
925225069,4502562,1660
20109229,51360982,1655
167262187,64621741,1654
82675988,168680287,1654
101949793,5240358,1650
4502562,2595047959,1650
116571295,103225281,1648
135086714,57293258,1645
89324355,118992489,1643
190082376,50372074,1642
44535979,4502562,1641
84775595,105380075,1641
193920097,125775545,1640
2493627025,4502562,1634
58031724,133363738,1633
46300952,46300952,1630
35920007,196647941,1627
126824455,115173108,1625
13144211,62148650,1624
76152103,51360982,1619
58031724,184777250,1619
10936095,69141925,1618
42286584,42286584,1617
125775545,33323087,1611
85427048,168680287,1611
2508752,2508752,1609
103321696,165318533,1606
62238642,4502562,1605
173256270,193920097,1605
140556538,173256270,1605
147897268,13144211,1604
181659395,181659395,1602
192650101,140556538,1599
8427965,5240358,1598
13144211,93787993,1596
56603566,56603566,1595
140556538,45693802,1593
103321696,27769002,1587
2485537415,168680287,1585
27455496,207023548,1584
94044085,149131268,1582
38883057,103482838,1582
12529635,12529635,1580
155349577,52395412,1579
90199469,196139623,1577
94821547,94821547,1576
171741597,193368155,1574
42167783,168680287,1573
80299757,80299757,1572
100835903,37538908,1572
145894672,145894672,1571
39012697,90727058,1571
90727058,18902827,1570
89324355,89324355,1560
13144211,134177497,1553
20109229,20109229,1552
196821226,125775545,1545
112141509,112141509,1545
192650101,33368595,1543
157670870,97130795,1542
66221708,115304631,1540
35920007,199944782,1538
2764847869,2764847869,1538
33368595,169411308,1534
32326811,97130795,1528
4502562,63459445,1528
205010575,6725529,1528
76152103,184954342,1527
125775545,193920097,1525
110206669,61310614,1523
267729,103321696,1522
255146,255146,1520
36029991,19032547,1519
7560371,7560371,1518
38448739,38448739,1517
92163612,73484101,1515
207319443,207319443,1515
97130795,157146593,1515
92363890,92363890,1513
87725633,202403813,1512
80113298,10082577,1511
134177497,51360982,1510
192650101,10169007,1507
123849098,57293258,1507
204030396,202812398,1506
177675236,172477885,1505
205498627,205498627,1504
85427048,147316732,1502
69141925,62238642,1500
58069681,103225281,1498
192650101,184954342,1496
41449414,41449414,1495
